offset_hex	length	text
0x00002a5b	12	たたきつける
0x00002a68	8	ラッシュ
0x00002a71	14	魔女の眼差し２
0x00002a80	8	回転攻撃
0x00002a89	12	ガレキ落とし
0x00002a96	14	ガレキ落とし２
0x00002aac	12	鉄球ぶん回し
0x00002ab9	14	鉄球ぶん回し２
0x00002ac8	18	おぞましいおたけび
0x00002adb	16	フェザースコール
0x00002aec	17	[流星/りゅうせい]
0x00002afe	10	念じボール
0x00002b09	28	[神々/かみがみ]の[怒/いか]り
0x00002b26	10	わしづかみ
0x00002b31	10	ＭＰ全回復
0x00002b3c	21	[暗黒/あんこく]のきり
0x00002b52	12	やみのはどう
0x00002b5f	14	あやしいひかり
0x00002b6e	17	せんこう[弾/だん]
0x00002b80	14	あやしいひとみ
0x00002b8f	8	若き血潮
0x00002b98	16	まばゆいせんこう
0x00002ba9	14	メダパニダンス
0x00002bb8	20	テンション上げダンス
0x00002bcd	8	斬り上げ
0x00002bd6	10	暴走攻撃２
0x00002be6	10	クモ糸縛り
0x00002bf1	15	[突風/とっぷう]
0x00002c01	16	おぞましい鳴き声
0x00002c12	19	[超/ちょう]おたけび
0x00002c26	16	不敵に笑っている
0x00002c37	12	メラガイアー
0x00002c44	12	イオグランデ
0x00002c51	12	マヒャデドス
0x00002c5e	12	バギムーチョ
0x00002c6b	10	ドルマドン
0x00002c76	12	タップダンス
0x00002c83	18	キラージャグリング
0x00002c96	14	おもいでのすず
0x00002ca5	16	ゲルニックかばう
