ID,Model ID,Japanese,English,Spanish,French,German,Italian,ROM Radius Record Index,ROM Model ID,Model ID Match,Radius Source,Radius Source Hex,Battle Radius,Battle Radius Hex
0051,z065b,メダパニつむり,giddy gastropog,gasterópodo aturdidor,mauvellusque,Schnickschnecke,Ranguscio terribilis,70,z065b,1,1843,0x0733,7372,0x1ccc
0052,z065c,ダークデンデン,gloomy gastropog,gasterópodo siniestro,gros-gris,Schattenschnecke,Ranguscio demoniaco,71,z065c,1,1843,0x0733,7372,0x1ccc
0053,z064a,はにわナイト,earthenwarrior,jinete de terracota,cavalier de glaise,Keramikkrieger,Milite d'argilla,72,z064a,1,2048,0x0800,8192,0x2000
0054,z064b,ふゆしょうぐん,brrearthenwarrior,jinete de terrorcota,cavalier de glace,Kalte Keramikkrieger,Palafreddo,73,z064b,1,2048,0x0800,8192,0x2000
0055,z035a,がいこつ,skeleton,esqueleto,squelette,Skelett,Skeletro,74,z035a,1,1536,0x0600,6144,0x1800
0056,z035b,死霊の騎士,skeleton soldier,esqueleto soldado,soldat squelette,Skelettsoldat,Soldaskeletro,75,z035b,1,1536,0x0600,6144,0x1800
0057,z035c,影の騎士,dark skeleton,esqueleto oscuro,squelette noir,Dunkle Skelett,Neroskeletro,76,z035c,1,1536,0x0600,6144,0x1800
0058,z039a,ウィングスネーク,flython,serpiente veladora,veninconda,Schwingenschleiche,Hisserp,77,z039a,1,2048,0x0800,8192,0x2000
0059,z039b,ヘルバイパー,diethon,sierpe alada,toxicrotale,Satansschleiche,Demonvipera,78,z039b,1,2048,0x0800,8192,0x2000
005a,z039c,オーシャンナーガ,sail serpent,serpiente marinera,vipère sonique,Segelschleiche,Aquarettile,79,z039c,1,2048,0x0800,8192,0x2000
005b,z025a,おおくちばし,beakon,aticuécano,rapastrident,Schandschnabel,Semplibeck,80,z025a,1,1536,0x0600,6144,0x1800
005c,z025b,デッドペッカー,weaken beakon,aticuécano debilitador,altérapace,Schindschnabel,Beck Beck,81,z025b,1,1536,0x0600,6144,0x1800
005d,z025c,アカイライ,belisha beakon,aticuécano picador,rapacepasse,Sturmschnabel,Flash Beck,82,z025c,1,1536,0x0600,6144,0x1800
005e,z040a,がいこつ兵,lesionnaire,lesionario,lésionnaire,Läsionär,Legionario,83,z040a,1,2150,0x0866,8600,0x2198
005f,z040b,しにがみ兵,deadcurion,letaurión,sangturion,Dekadenturio,Centurione,84,z040b,1,2150,0x0866,8600,0x2198
0060,z040c,ゾンビナイト,stenchurion,hedourión,décarion,Stinkurio,Lanciere velenoso,85,z040c,1,2150,0x0866,8600,0x2198
0061,z041a,ガオン,cheeky tiki,tikis mikis,grimasque,Grinsgötze,Maskerossa,86,z041a,1,2048,0x0800,8192,0x2000
0062,z041b,トーテムキラー,teaky mask,tiki de teka,maskoteck,Teak-Tiki,Ebetyssimus,87,z041b,1,2048,0x0800,8192,0x2000
0063,z042a,リカント,bewarewolf,lobobo,folycanthrope,Böse Wolf,Licanlupo,88,z042a,1,2150,0x0866,8600,0x2198
0064,z042b,キラーリカント,tearwolf,lobobo desgarrador,grizzlycanthrope,Reißwolf,Artigliupo,89,z042b,1,2150,0x0866,8600,0x2198
0065,z042c,リカントマムル,scarewolf,lobobo espantajo,chienlycanthrope,Wehwolf,Ululà,90,z042c,1,2150,0x0866,8600,0x2198
0066,z008a,くさった死体,walking corpse,zombi errante,mort-vivant,Wiedergänger,Zombie,91,z008a,1,1536,0x0600,6144,0x1800
0067,z008b,どくどくゾンビ,toxic zombie,zombi infeccioso,zombitox,Giftzombie,Zombie velenoso,92,z008b,1,1536,0x0600,6144,0x1800
0068,z008c,グール,ghoul,zombi necrófago,goule,Ghul,Zombie grigio,93,z008c,1,1536,0x0600,6144,0x1800
0069,z022a,かまいたち,cyclown,anticiclón,cyclown,Tornadoteufel,Ciclown,94,z022a,1,1843,0x0733,7372,0x1ccc
006a,z022b,うずしおキング,spinchilla,ciclón matón,glacyclone,Frostfritze,Wilfredd,95,z022b,1,1843,0x0733,7372,0x1ccc
006b,z022c,レッドサイクロン,whirly girly,tornada,typhonphonphon,Wirbeline,Gyra,96,z022c,1,1843,0x0733,7372,0x1ccc
006c,z021a,ミイラ男,mummy boy,pequemomia,momignon,Mumienknirps,Cocco di mummia,97,z021a,1,1587,0x0633,6348,0x18cc
006d,z021b,マミー,mummy,momia,momie,Mumie,Mummia,98,z021b,1,1587,0x0633,6348,0x18cc
006e,z021c,ブラッドマミー,blood mummy,momia ensangrentada,momie sanglante,Blutmumie,Mummia scarlatta,99,z021c,1,1587,0x0633,6348,0x18cc
006f,z023a,ガメゴン,wyrtle,tortuverno,tortugon,Schilddrache,Tartadrago,100,z023a,1,2764,0x0acc,11056,0x2b30
0070,z023b,ガメゴンロード,wyrtoise,galapaverno,dracarapace,Panzerdrache,Dragoruga,101,z023b,1,2764,0x0acc,11056,0x2b30
0071,z043a,マッドオックス,ram raider,carnero campero,boucboule,Widderling,Hari-Hari,102,z043a,1,1843,0x0733,7372,0x1ccc
0072,z043b,ゴートドン,rampage,carnero pampero,inhibélier,Profibockser,Korna,103,z043b,1,1843,0x0733,7372,0x1ccc
0073,z043c,ビッグホーン,battering ram,carnero arietero,boucabouche,Rammbock,Pecheras,104,z043c,1,1843,0x0733,7372,0x1ccc
0074,z006a,ばくだん岩,rockbomb,rocobomba,rochexplosif,Felsenbombe,Esplo-sasso,105,z006a,1,1331,0x0533,5324,0x14cc
0075,z006b,スマイルロック,grinade,piedrolo,scorictus,Sprengstein,Sorbomba,106,z006b,1,1331,0x0533,5324,0x14cc
0076,z006c,メガザルロック,bomboulder,petrobomba,vulcanobombe,Bombenbrocken,Masso rosso,107,z006c,1,1331,0x0533,5324,0x14cc
0077,z004a,さまようよろい,restless armour,armadura inquieta,armure errante,Ruhelose Rüstung,Armatura assassina,108,z004a,1,1740,0x06cc,6960,0x1b30
0078,z004b,じごくのよろい,infernal armour,armadura infernal,armure infernale,Höllenrüstung,Corazza infernale,109,z004b,1,1740,0x06cc,6960,0x1b30
0079,z004c,キラーアーマー,lethal armour,armadura letal,armure fatale,Todesrüstung,Armatura letale,110,z004c,1,1740,0x06cc,6960,0x1b30
007a,z003a,スライムナイト,slime knight,jinete de limo,monte-gluant,Schleimritter,Paladino Slime,111,z003a,1,1331,0x0533,5324,0x14cc
007b,z003b,メタルライダー,metal slime knight,jinete de limo metálico,monte-gluant de métal,Metallschleimritter,Cavaliere Slime,112,z003b,1,1331,0x0533,5324,0x14cc
007c,z044a,突げきホーン,swinoceros,maliceronte,cornocéros,Schweinozeros,Malignoceronte,113,z044a,1,1843,0x0733,7372,0x1ccc
007d,z044b,ライノキング,splatterhorn,feroceronte,rudocéros,Marterhorn,Rinoferoce,114,z044b,1,1843,0x0733,7372,0x1ccc
007e,z045a,ドロヌーバ,mudraker,fangal oscuro,fangeux,Schlammschlachter,Melmortifero,115,z045a,1,2662,0x0a66,10648,0x2998
007f,z045b,ジェリーマン,admirer,cenagal mimético,viscaire,Matschmagier,Poltiglion,116,z045b,1,2662,0x0a66,10648,0x2998
0080,z045c,マグマロン,live lava,lava viva,brûlavif,Lustige Lava,Lavaviva,117,z045c,1,2662,0x0a66,10648,0x2998
0081,z027a,マンドリル,badboon,malandril,babourin,Gibbonze,Scimpanzer,118,z027a,1,2150,0x0866,8600,0x2198
0082,z027b,バブーン,big badboon,malandril grande,combabouin,Große Gibbonze,Gran Scimpanzer,119,z027b,1,2150,0x0866,8600,0x2198
0083,z027c,ヒババンゴ,brainy badboon,malandril inteligente,ababouin,Gescheite Gibbonze,Cerebroscimmia,120,z027c,1,2150,0x0866,8600,0x2198
0084,z020b,まじゅつし,magus,mago,mage,Magus,Magus,121,z020b,1,1843,0x0733,7372,0x1ccc
0085,z020a,きとうし,shaman,chamán,shaman,Schamane,Shaman,122,z020a,1,1843,0x0733,7372,0x1ccc
0086,z020c,ようじゅつし,sorcerer,hechicero,sorcier,Hexer,Stregon,123,z020c,1,1843,0x0733,7372,0x1ccc
0087,z046a,リザードマン,mandrake major,dracogento,caporal mandragor,Alraunenmajor,Mandrago maggiore,124,z046a,1,2662,0x0a66,10648,0x2998
0088,z046b,りゅう兵士,mandrake marauder,merodeadraco,soldat mandragor,Alraunensoldat,Mandrago Ultra,125,z046b,1,2662,0x0a66,10648,0x2998
0089,z046c,シュプリンガー,mandrake marshal,draconiente,général mandragor,Alraunenmarschall,Drapocalypse,126,z046c,1,2662,0x0a66,10648,0x2998
008a,z047a,じんめんじゅ,treeface,arboligno,tronc-bine,Baumfratze,Faccia d'albero,127,z047a,1,3072,0x0c00,12288,0x3000
008b,z047b,ウドラー,treevil,arboligno diabólico,arbomination,Baumteufel,Malalbero grigio,128,z047b,1,3072,0x0c00,12288,0x3000
008c,z031a,キメラ,chimaera,quimera,chimère,Chimäre,Chimera,129,z031a,1,1638,0x0666,6552,0x1998
008d,z031b,メイジキメラ,hocus chimaera,quimera engañosa,archimère,Feuerchimäre,Chimera incantata,130,z031b,1,1638,0x0666,6552,0x1998
008e,z066a,かまっち,ragged reaper,muerte miserable,faux-frère,Sensenscheuche,Contadimonio,131,z066a,1,1740,0x06cc,6960,0x1b30
008f,z066b,アサシンドール,raving reaper,muerte mísera,épouvantaille,Düsterdrescher,Mietitore malvagio,132,z066b,1,1740,0x06cc,6960,0x1b30
0090,z067a,ポンポコだぬき,boppin' badger,malpache bailón,blaireau bongo,Diskodachs,Kan Kanide,133,z067a,1,1597,0x063d,6388,0x18f4
0091,z067b,メイジポンポコ,badger mager,malpache,blaireau mage,Zauberdachs,Leocane,134,z067b,1,1597,0x063d,6388,0x18f4
0092,z067c,ブラックタヌー,badja,malpache enmascarado,blaireau ninja,Frechdachs,Cattican,135,z067c,1,1597,0x063d,6388,0x18f4
0093,z068a,とっしんこぞう,chariot chappie,carretero,hécatombereau,Wüste Wagenlenker,Er Car,136,z068a,1,3072,0x0c00,12288,0x3000
0094,z068b,エビルチャリオット,corrupt carter,carretero corrupto,charretier blindé,Korrupte Kutscher,Carro arrabbiato,137,z068b,1,3072,0x0c00,12288,0x3000
0095,z069a,ガマキャノン,mortoad,sapogaitas,crapouillot,Platzprotz,Rospomor,138,z069a,1,3276,0x0ccc,13104,0x3330
0096,z069b,デザートタンク,expload,sapogaitas explosivo,croartilleur,Knallfrosch,Ranabum,139,z069b,1,3276,0x0ccc,13104,0x3330
0097,z069c,キャノンキング,blastoad,sapogaitas petardo,crapoxique,Böllerkröte,Deflagrana,140,z069c,1,3276,0x0ccc,13104,0x3330
0098,z079a,デザートランナー,parched peckerel,pollastre reseco,accélhéron,Hünenpicker,Sbeccadoon reale,141,z079a,1,3379,0x0d33,13516,0x34cc
0099,z079b,アサシンエミュー,peckerel,pollastre,pirvert,Pick-Aas,Sbeccadoon,142,z079b,1,3379,0x0d33,13516,0x34cc
009d,z071a,ニードルオクト,knocktopus,pulplof,poulpic,Prollyp,Knocktopus,143,z071a,1,2252,0x08cc,9008,0x2330
009e,z071b,オクトスパイカー,shocktopus,pulplof sorpresa,pieuxvre,Schocktopus,Shocktopus,144,z071b,1,2252,0x08cc,9008,0x2330
009f,z062a,アーゴンデビル,manguini,bocazas,manguini,Maulheld,Laboca,145,z062a,1,3072,0x0c00,12288,0x3000
00a0,z062b,ブラッドアーゴン,bloody manguini,bocazas sanguinario,manguini sanguinaire,Blutige Maulheld,Boca magistra,146,z062b,1,3072,0x0c00,12288,0x3000
00a1,z073a,ヌボーン,gruffon,grifete,escogriffon,Angreif,Grifarruffo,147,z073a,1,2662,0x0a66,10648,0x2998
00a2,z073b,ビッグボック,great gruffon,gran grifete,grand escogriffon,Großangreif,Gran Grifo,148,z073b,1,2662,0x0a66,10648,0x2998
00a3,z073c,アロダイタス,gramarye gruffon,necrogrifete,escogrillefon,Uri-Geier,Magigrifo,149,z073c,1,2662,0x0a66,10648,0x2998
00a4,z070a,タイガーランス,trigertaur,tigretauro,hippotigre,Tigertaurus,Tricentauro,150,z070a,1,4300,0x10cc,17200,0x4330
00a5,z070b,ホワイトランサー,white trigertaur,tigretauro blanco,hippotigre blanc,Weiße Tigertaurus,Tricentauro gelido,151,z070b,1,4300,0x10cc,17200,0x4330
00a6,z070c,キマライガー,sick trigertaur,tigretauro enfermo,hippotigrulk,Kranke Tigertaurus,Tricentauro malefico,152,z070c,1,4300,0x10cc,17200,0x4330
00a7,z032a,アンクルホーン,moosifer,mucifer,belzébik,Bullzebub,Basettos,153,z032a,1,2867,0x0b33,11468,0x2ccc
00a8,z032b,ヘルバトラー,barbatos,barbatos,barbatos,Barbatos,Barbatos,154,z032b,1,2867,0x0b33,11468,0x2ccc
00a9,z048a,グリーンドラゴン,green dragon,dragón verde,dragon vert,Grüne Drache,Verdrago,155,z048a,1,3891,0x0f33,15564,0x3ccc
00aa,z048b,レッドドラゴン,red dragon,dragón rojo,dragon rouge,Rote Drache,Porpordrago,156,z048b,1,3891,0x0f33,15564,0x3ccc
00ab,z048c,アンドレアル,rashaverak,rashaverak,rashaverak,Rashaverak,Rashaverak,157,z048c,1,3891,0x0f33,15564,0x3ccc
00ac,z010a,うごくせきぞう,living statue,coloso viviente,statue vivante,Lebende Statue,Statua vivente,158,z010a,1,2457,0x0999,9828,0x2664
00ad,z010b,だいまじん,stone guardian,coloso guardián,gardien de pierre,Steinwächter,Guardia di pietra,159,z010b,1,2457,0x0999,9828,0x2664
00ae,z030a,ギガントヒルズ,drakularge,drácogran,dracularge,Wampir,Lardodragon,160,z030a,1,3584,0x0e00,14336,0x3800
00af,z030b,ギガントドラゴン,drakulard,drácolard,draculard,Wanstdrache,Draku Lard,161,z030b,1,3584,0x0e00,14336,0x3800
00b0,z030c,ドラゴン・ウー,drakulord,dráculord,draculord,Drachenfürst,Lord Draku,162,z030c,1,3584,0x0e00,14336,0x3800
00b1,z016a,メタルハンター,hunter mech,roboarmadura guerrera,mécachasseur,Jagdroboter,Mechacentauro grigio,163,z016a,1,2867,0x0b33,11468,0x2ccc
00b2,z016b,キラーマシン,killing machine,máquina de matar,machine à tuer,Killermaschine,Mechacentauro,164,z016b,1,2867,0x0b33,11468,0x2ccc
00b3,z012a,キングスライム,king slime,limo rey,roi gluant,Königsschleim,Re Slime,165,z012a,1,2764,0x0acc,11056,0x2b30
00b4,z012b,スライムベホマズン,king cureslime,limo rey curativo,roi guérigluant,Heilschleimkönig,Re Curaslime,166,z012b,1,2764,0x0acc,11056,0x2b30
00b5,z012c,メタルキング,metal king slime,limo rey metálico,roi gluant de métal,Metallkönigschleim,Re Slime grigio,167,z012c,1,2764,0x0acc,11056,0x2b30
00b6,z049a,くもの大王,cumulus rex,cúmulo rex,cumulus lex,Wolkenkönig,Nubis,168,z049a,1,3584,0x0e00,14336,0x3800
00b7,z049b,ヘルクラウダー,cumulus vex,cúmulo matón,cumulus jex,Wolkenkaiser,Nebulus,169,z049b,1,3584,0x0e00,14336,0x3800
00b8,z050a,スライムマデュラ,darkonium slime,limo tenebrum,gluant ténérium,Dunkelsteinschleim,Slime Darkonium,170,z050a,1,2048,0x0800,8192,0x2000
00b9,z050b,ゴールデンスライム,gem slime,limo gema,gluandor,Edelschleim,Prezioslime,171,z050b,1,2048,0x0800,8192,0x2000
00ba,z001a,ストーンマン,stone golem,gólem de piedra,golem de pierre,Steingolem,Golem di pietra,172,z001a,1,3072,0x0c00,12288,0x3000
00bb,z001b,ゴールドマン,gold golem,gólem de oro,golem d'or,Goldgolem,Golem dorato,173,z001b,1,3072,0x0c00,12288,0x3000
00bc,z001c,ゴーレム,golem,gólem,golem,Golem,Golem,174,z001c,1,3072,0x0c00,12288,0x3000
00bd,z051a,ストロングアニマル,drackal,dracal,dracal,Drakal,Drakallo,175,z051a,1,5324,0x14cc,21296,0x5330
00be,z051b,ヘルジャッカル,drastic drackal,dracal drástico,dracal bestial,Drastische Drakal,Iper Drakallo,176,z051b,1,5324,0x14cc,21296,0x5330
00bf,z051c,スケアリードッグ,dreadful drackal,dracal atroz,dracal fatal,Drangsal-Drakal,Sciak Demon,177,z051c,1,5324,0x14cc,21296,0x5330
00c0,z052a,デビルアーマー,harmour,aymadura,hauberserker,Rüde Rüstung,Karmatura,178,z052a,1,1843,0x0733,7372,0x1ccc
00c1,z052b,てっこうまじん,bad karmour,karmadura,cuirassassin,Eisenhauer,Karmatura del male,179,z052b,1,1843,0x0733,7372,0x1ccc
00c2,z052c,サタンメイル,alarmour,alarmadura,alarmure,Panikpanzer,Allarmatura,180,z052c,1,1843,0x0733,7372,0x1ccc
00c3,z053a,ナイトリッチ,fright knight,caballero horripilante,seigneur malheur,Albritter,Cavaliere della paura,181,z053a,1,2150,0x0866,8600,0x2198
00c4,z053b,ナイトキング,night knight,caballero nocturno,seigneur terreur,Nachtritter,Paladino del terrore,182,z053b,1,2150,0x0866,8600,0x2198
00c5,z054a,マッドファルコン,terrorhawk,halcorror,épirevier,Angstadler,Frenfalcon,183,z054a,1,2048,0x0800,8192,0x2000
00c6,z054b,にじくじゃく,prism peacock,pavo prisma,dark-en-ciel,Prismapfau,Pavone prismatico,184,z054b,1,2048,0x0800,8192,0x2000
00c7,z054c,れんごくまちょう,bird of terrordise,ave del terroriso,oiseau de peuradis,Terrordiesvogel,Alinferno,185,z054c,1,2048,0x0800,8192,0x2000
00c8,z055a,ビッグモアイ,mad moai,moai loco,moaï mutant,Meschuggene Moai,Moai pazzo,186,z055a,1,3072,0x0c00,12288,0x3000
