action_id_decimal,action_id_hex,action_name,action_name_status,source_table,target_side_code,target_side,target_side_ja,target_scope_code,target_scope,target_scope_ja,formation_class,formation_class_ja,is_formation_ignored,is_formation_used,is_all_attack,is_all_targets_on_side,is_group_attack,is_opponent_only,is_ally_only,is_self_only,repeat_mode_code,operation_type,resource_cost,target_handler_judgment1,target_handler_judgment2,runtime_validation,classification_confidence
30,0x01e,ホイミ,actname_indexed,a,2,ally,味方側,2,single,単体,ally_single,味方単体,false,false,false,false,false,false,true,false,0,2,2,11,11,not_observed,supported
31,0x01f,ベホイミ,actname_indexed,a,2,ally,味方側,2,single,単体,ally_single,味方単体,false,false,false,false,false,false,true,false,0,2,4,11,11,not_observed,supported
32,0x020,ベホイム,actname_indexed,a,2,ally,味方側,2,single,単体,ally_single,味方単体,false,false,false,false,false,false,true,false,0,2,8,11,11,not_observed,supported
33,0x021,ベホマ,actname_indexed,a,2,ally,味方側,2,single,単体,ally_single,味方単体,false,false,false,false,false,false,true,false,0,2,24,11,11,not_observed,supported
34,0x022,ベホマラー,actname_indexed,a,2,ally,味方側,3,all_on_side,全体,ally_all,味方全体,false,false,false,true,false,false,true,false,0,2,16,12,12,not_observed,supported
35,0x023,キアリー,actname_indexed,a,2,ally,味方側,2,single,単体,ally_single,味方単体,false,false,false,false,false,false,true,false,0,7,2,13,13,not_observed,supported
36,0x024,キアリク,actname_indexed,b,2,ally,味方側,4,group,1グループ,ally_group,味方グループ,false,false,false,false,false,false,true,false,0,20,2,14,14,not_observed,supported
37,0x025,ザメハ,actname_indexed,b,2,ally,味方側,4,group,1グループ,ally_group,味方グループ,false,false,false,false,false,false,true,false,0,9,2,15,15,not_observed,supported
38,0x026,ザオラル,actname_indexed,a,2,ally,味方側,2,single,単体,ally_single,味方単体,false,false,false,false,false,false,true,false,0,18,8,16,16,not_observed,supported
39,0x027,ザオリク,actname_indexed,a,2,ally,味方側,2,single,単体,ally_single,味方単体,false,false,false,false,false,false,true,false,0,18,15,16,16,not_observed,supported
40,0x028,メガザル,actname_indexed,b,2,ally,味方側,3,all_on_side,全体,ally_all,味方全体,false,false,false,true,false,false,true,false,0,33,255,17,17,not_observed,supported
41,0x029,スカラ,actname_indexed,b,2,ally,味方側,2,single,単体,ally_single,味方単体,false,false,false,false,false,false,true,false,0,4,3,18,19,not_observed,supported
42,0x02a,スクルト,actname_indexed,b,2,ally,味方側,4,group,1グループ,ally_group,味方グループ,false,false,false,false,false,false,true,false,0,4,6,20,21,not_observed,supported
43,0x02b,ルカニ,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,4,4,22,23,not_observed,supported
44,0x02c,ルカナン,actname_indexed,b,1,opponent,相手側,4,group,1グループ,opponent_group,グループ攻撃,false,false,false,false,true,true,false,false,0,4,8,24,25,not_observed,supported
45,0x02d,ピオラ,actname_indexed,b,2,ally,味方側,2,single,単体,ally_single,味方単体,false,false,false,false,false,false,true,false,0,5,2,26,27,not_observed,supported
46,0x02e,ピオリム,actname_indexed,b,2,ally,味方側,4,group,1グループ,ally_group,味方グループ,false,false,false,false,false,false,true,false,0,5,4,28,29,not_observed,supported
47,0x02f,ボミエ,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,5,3,30,31,not_observed,supported
48,0x030,ボミオス,actname_indexed,b,1,opponent,相手側,4,group,1グループ,opponent_group,グループ攻撃,false,false,false,false,true,true,false,false,0,5,5,32,33,not_observed,supported
49,0x031,バイキルト,actname_indexed,b,2,ally,味方側,2,single,単体,ally_single,味方単体,false,false,false,false,false,false,true,false,0,3,8,34,35,not_observed,supported
50,0x032,ヘナトス,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,3,8,36,37,not_observed,supported
51,0x033,メダパニ,actname_indexed,b,1,opponent,相手側,4,group,1グループ,opponent_group,グループ攻撃,false,false,false,false,true,true,false,false,0,21,5,38,39,not_observed,supported
52,0x034,メダパニーマ,actname_indexed,b,1,opponent,相手側,3,all_on_side,全体,opponent_all,全体攻撃,false,false,true,true,false,true,false,false,0,21,10,40,41,not_observed,supported
53,0x035,ラリホー,actname_indexed,b,1,opponent,相手側,4,group,1グループ,opponent_group,グループ攻撃,false,false,false,false,true,true,false,false,0,8,3,42,43,not_observed,supported
54,0x036,ラリホーマ,actname_indexed,b,1,opponent,相手側,3,all_on_side,全体,opponent_all,全体攻撃,false,false,true,true,false,true,false,false,0,8,8,44,45,not_observed,supported
55,0x037,マホカンタ,actname_indexed,b,2,ally,味方側,1,self,自分,self,自己,false,false,false,false,false,false,true,true,0,31,4,46,47,not_observed,supported
56,0x038,マホバリア,actname_indexed,b,2,ally,味方側,2,single,単体,ally_single,味方単体,false,false,false,false,false,false,true,false,0,22,3,48,49,not_observed,supported
57,0x039,マジックバリア,actname_indexed,b,2,ally,味方側,4,group,1グループ,ally_group,味方グループ,false,false,false,false,false,false,true,false,0,22,6,50,49,not_observed,supported
58,0x03a,マホトーン,actname_indexed,b,1,opponent,相手側,4,group,1グループ,opponent_group,グループ攻撃,false,false,false,false,true,true,false,false,0,16,3,52,53,not_observed,supported
59,0x03b,マヌーサ,actname_indexed,b,1,opponent,相手側,4,group,1グループ,opponent_group,グループ攻撃,false,false,false,false,true,true,false,false,0,19,5,54,55,not_observed,supported
60,0x03c,バーハ,actname_indexed,b,2,ally,味方側,2,single,単体,ally_single,味方単体,false,false,false,false,false,false,true,false,0,23,4,56,57,not_observed,supported
61,0x03d,フバーハ,actname_indexed,b,2,ally,味方側,4,group,1グループ,ally_group,味方グループ,false,false,false,false,false,false,true,false,0,23,8,58,59,not_observed,supported
62,0x03e,ディバインスペル,actname_indexed,b,1,opponent,相手側,4,group,1グループ,opponent_group,グループ攻撃,false,false,false,false,true,true,false,false,0,22,4,60,60,not_observed,supported
63,0x03f,ドラゴン[斬/ぎ]り,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,0,61,61,not_observed,supported
64,0x040,メタル[斬/ぎ]り,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,0,61,61,not_observed,supported
65,0x041,ミラクルソード,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,4,61,61,not_observed,supported
66,0x042,はやぶさ[斬/ぎ]り,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,1,1,2,61,61,not_observed,supported
67,0x043,ギガスラッシュ,actname_indexed,b,1,opponent,相手側,4,group,1グループ,opponent_group,グループ攻撃,false,false,false,false,true,true,false,false,0,1,15,62,62,not_observed,supported
68,0x044,ギガブレイク,actname_indexed,b,1,opponent,相手側,4,group,1グループ,opponent_group,グループ攻撃,false,false,false,false,true,true,false,false,0,1,30,62,62,not_observed,supported
69,0x045,しっぷうづき,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,0,61,61,not_observed,supported
70,0x046,けものづき,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,0,61,61,not_observed,supported
71,0x047,きゅうしょづき,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,3,61,61,not_observed,supported
72,0x048,[一閃/いっせん]づき,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,8,61,61,not_observed,supported
73,0x049,さみだれづき,actname_indexed,b,1,opponent,相手側,3,all_on_side,全体,opponent_all,全体攻撃,false,false,true,true,false,true,false,false,3,1,4,0,0,not_observed,supported
74,0x04a,ジゴスパーク,actname_indexed,b,1,opponent,相手側,3,all_on_side,全体,opponent_all,全体攻撃,false,false,true,true,false,true,false,false,0,1,26,0,0,not_observed,supported
75,0x04b,ポイズンダガー,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,2,63,63,not_observed,supported
76,0x04c,キラーブーン,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,0,61,61,not_observed,supported
77,0x04d,タナトスハント,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,3,64,64,not_observed,supported
78,0x04e,アサシンアタック,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,3,61,61,not_observed,supported
79,0x04f,バンパイアエッジ,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,4,61,61,not_observed,supported
80,0x050,ヒュプノスハント,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,3,65,65,not_observed,supported
81,0x051,まふうじのつえ,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,16,3,154,154,not_observed,supported
82,0x052,[悪魔/あくま]ばらい,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,0,61,61,not_observed,supported
83,0x053,しゅくふくのつえ,actname_indexed,b,2,ally,味方側,2,single,単体,ally_single,味方単体,false,false,false,false,false,false,true,false,0,2,2,66,66,not_observed,supported
84,0x054,ふっかつのつえ,actname_indexed,b,2,ally,味方側,2,single,単体,ally_single,味方単体,false,false,false,false,false,false,true,false,0,18,8,16,16,not_observed,supported
85,0x055,らせん[打/う]ち,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,3,67,67,not_observed,supported
86,0x056,[愛/あい]のムチ,actname_indexed,b,1,opponent,相手側,4,group,1グループ,opponent_group,グループ攻撃,false,false,false,false,true,true,false,false,0,1,0,62,62,not_observed,supported
87,0x057,ねむり[打/う]ち,actname_indexed,b,1,opponent,相手側,4,group,1グループ,opponent_group,グループ攻撃,false,false,false,false,true,true,false,false,0,1,3,42,42,not_observed,supported
88,0x058,しばり[打/う]ち,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,3,68,68,not_observed,supported
89,0x059,ヒールウィップ,actname_indexed,b,1,opponent,相手側,4,group,1グループ,opponent_group,グループ攻撃,false,false,false,false,true,true,false,false,0,1,5,62,62,not_observed,supported
90,0x05a,[双/そう][竜/りゅう][打/う]ち,actname_indexed,b,1,opponent,相手側,4,group,1グループ,opponent_group,グループ攻撃,false,false,false,false,true,true,false,false,4,1,10,62,62,not_observed,supported
91,0x05b,[地這/ちは]い[大蛇/だいじゃ],actname_indexed,b,1,opponent,相手側,4,group,1グループ,opponent_group,グループ攻撃,false,false,false,false,true,true,false,false,0,1,16,62,62,not_observed,supported
92,0x05c,[足/あし]ばらい,actname_indexed,b,1,opponent,相手側,4,group,1グループ,opponent_group,グループ攻撃,false,false,false,false,true,true,false,false,0,10,0,62,62,not_observed,supported
93,0x05d,[黄泉送/よみおく]り,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,0,61,61,not_observed,supported
94,0x05e,なぎはらい,actname_indexed,b,1,opponent,相手側,4,group,1グループ,opponent_group,グループ攻撃,false,false,false,false,true,true,false,false,0,1,0,62,62,not_observed,supported
95,0x05f,[氷結/ひょうけつ]らんげき,actname_indexed,b,1,opponent,相手側,3,all_on_side,全体,opponent_all,全体攻撃,false,false,true,true,false,true,false,false,5,1,5,61,61,not_observed,supported
96,0x060,[天地/てんち]のかまえ,actname_indexed,b,2,ally,味方側,1,self,自分,self,自己,false,false,false,false,false,false,true,true,0,0,8,0,0,not_observed,supported
97,0x061,ウィングブロウ,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,2,61,61,not_observed,supported
98,0x062,[裂鋼拳/れっこうけん],actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,0,61,61,not_observed,supported
99,0x063,ネイルスクラッチ,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,6,1,0,61,61,not_observed,supported
100,0x064,タイガークロー,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,1,1,0,61,61,not_observed,supported
101,0x065,ゴールドフィンガー,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,6,69,69,not_observed,supported
102,0x066,ゴッドスマッシュ,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,14,61,61,not_observed,supported
103,0x067,[花/はな]ふぶき,actname_indexed,b,1,opponent,相手側,4,group,1グループ,opponent_group,グループ攻撃,false,false,false,false,true,true,false,false,0,19,2,54,54,not_observed,supported
104,0x068,といきがえし,actname_indexed,b,2,ally,味方側,1,self,自分,self,自己,false,false,false,false,false,false,true,true,0,32,4,70,70,not_observed,supported
105,0x069,[波紋演舞/はもんえんぶ],actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,0,61,61,not_observed,supported
106,0x06a,[風姿花伝/ふうしかでん],actname_indexed,b,2,ally,味方側,1,self,自分,self,自己,false,false,false,false,false,false,true,true,0,36,3,76,76,not_observed,supported
107,0x06b,おうぎのまい,actname_indexed,b,1,opponent,相手側,3,all_on_side,全体,opponent_all,全体攻撃,false,false,true,true,false,true,false,false,3,1,8,61,61,not_observed,supported
108,0x06c,ハッスルダンス,actname_indexed,b,2,ally,味方側,3,all_on_side,全体,ally_all,味方全体,false,false,false,true,false,false,true,false,0,2,0,71,71,not_observed,supported
109,0x06d,かぶと[割/わ]り,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,0,72,72,not_observed,supported
110,0x06e,たいぼく[斬/ざん],actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,0,61,61,not_observed,supported
111,0x06f,[蒼天魔斬/そうてんまざん],actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,2,61,61,not_observed,supported
112,0x070,まじん[斬/ぎ]り,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,8,61,61,not_observed,supported
113,0x071,オノむそう,actname_indexed,b,1,opponent,相手側,4,group,1グループ,opponent_group,グループ攻撃,false,false,false,false,true,true,false,false,0,1,0,62,62,not_observed,supported
114,0x072,[森羅万象斬/しんらばんしょうざん],actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,16,61,61,not_observed,supported
115,0x073,ハートブレイク,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,2,77,77,not_observed,supported
116,0x074,ゴールドハンマー,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,2,61,61,not_observed,supported
117,0x075,ラストバッター,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,3,61,61,not_observed,supported
118,0x076,ドラムクラッシュ,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,0,61,61,not_observed,supported
119,0x077,ランドインパクト,actname_indexed,b,1,opponent,相手側,3,all_on_side,全体,opponent_all,全体攻撃,false,false,true,true,false,true,false,false,0,1,12,0,0,not_observed,supported
120,0x078,ビッグバン,actname_indexed,b,1,opponent,相手側,3,all_on_side,全体,opponent_all,全体攻撃,false,false,true,true,false,true,false,false,0,1,16,0,0,not_observed,supported
121,0x079,クロスカッター,actname_indexed,b,1,opponent,相手側,3,all_on_side,全体,opponent_all,全体攻撃,false,false,true,true,false,true,false,false,0,1,2,0,0,not_observed,supported
122,0x07a,パワフルスロー,actname_indexed,b,1,opponent,相手側,3,all_on_side,全体,opponent_all,全体攻撃,false,false,true,true,false,true,false,false,0,1,4,0,0,not_observed,supported
123,0x07b,スライムブロウ,actname_indexed,b,1,opponent,相手側,3,all_on_side,全体,opponent_all,全体攻撃,false,false,true,true,false,true,false,false,0,1,0,0,0,not_observed,supported
124,0x07c,シャインスコール,actname_indexed,b,1,opponent,相手側,3,all_on_side,全体,opponent_all,全体攻撃,false,false,true,true,false,true,false,false,0,1,6,0,0,not_observed,supported
125,0x07d,バーニングバード,actname_indexed,b,1,opponent,相手側,3,all_on_side,全体,opponent_all,全体攻撃,false,false,true,true,false,true,false,false,7,1,4,61,61,not_observed,supported
126,0x07e,メタルウィング,actname_indexed,b,1,opponent,相手側,3,all_on_side,全体,opponent_all,全体攻撃,false,false,true,true,false,true,false,false,0,1,3,73,73,not_observed,supported
127,0x07f,ギガスロー,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,16,61,61,not_observed,supported
128,0x080,マジックアロー,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,3,74,74,not_observed,supported
129,0x081,バードシュート,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,0,61,61,not_observed,supported
130,0x082,ニードルショット,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,1,61,61,not_observed,supported
131,0x083,さみだれうち,actname_indexed,b,1,opponent,相手側,3,all_on_side,全体,opponent_all,全体攻撃,false,false,true,true,false,true,false,false,5,1,4,0,0,not_observed,supported
132,0x084,[天使/てんし]の[矢/や],actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,0,61,61,not_observed,supported
133,0x085,シャイニングボウ,actname_indexed,b,1,opponent,相手側,3,all_on_side,全体,opponent_all,全体攻撃,false,false,true,true,false,true,false,false,0,1,18,0,0,not_observed,supported
134,0x086,シールドアタック,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,4,61,61,not_observed,supported
135,0x087,[大/だい]ぼうぎょ,actname_indexed,b,2,ally,味方側,1,self,自分,self,自己,false,false,false,false,false,false,true,true,0,0,3,0,0,not_observed,supported
136,0x088,ビッグシールド,actname_indexed,b,2,ally,味方側,1,self,自分,self,自己,false,false,false,false,false,false,true,true,0,37,4,75,75,not_observed,supported
137,0x089,ミラーシールド,actname_indexed,b,2,ally,味方側,1,self,自分,self,自己,false,false,false,false,false,false,true,true,0,31,4,46,46,not_observed,supported
138,0x08a,うけながしのかまえ,actname_indexed,b,2,ally,味方側,1,self,自分,self,自己,false,false,false,false,false,false,true,true,0,0,12,78,78,not_observed,supported
139,0x08b,まもりのたて,actname_indexed,b,2,ally,味方側,1,self,自分,self,自己,false,false,false,false,false,false,true,true,0,64,4,79,79,not_observed,supported
140,0x08c,[石/いし]つぶて,actname_indexed,b,1,opponent,相手側,4,group,1グループ,opponent_group,グループ攻撃,false,false,false,false,true,true,false,false,0,1,0,62,62,not_observed,supported
141,0x08d,かまいたち,actname_indexed,b,1,opponent,相手側,4,group,1グループ,opponent_group,グループ攻撃,false,false,false,false,true,true,false,false,0,1,0,62,62,not_observed,supported
142,0x08e,せいけんづき,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,2,61,61,not_observed,supported
143,0x08f,ばくれつけん,actname_indexed,b,1,opponent,相手側,3,all_on_side,全体,opponent_all,全体攻撃,false,false,true,true,false,true,false,false,5,1,0,61,61,not_observed,supported
144,0x090,[岩石/がんせき]おとし,actname_indexed,b,1,opponent,相手側,3,all_on_side,全体,opponent_all,全体攻撃,false,false,true,true,false,true,false,false,0,1,8,0,0,not_observed,supported
145,0x091,ミラクルムーン,actname_indexed,b,1,opponent,相手側,3,all_on_side,全体,opponent_all,全体攻撃,false,false,true,true,false,true,false,false,0,1,16,0,0,not_observed,supported
146,0x092,かばう,actname_indexed,b,2,ally,味方側,8,actor_specific,アクター固有,special_or_context,特殊・文脈依存,false,false,false,false,false,false,true,false,0,0,0,80,81,not_observed,supported
147,0x093,くちぶえ,actname_indexed,b,1,opponent,相手側,4,group,1グループ,opponent_group,グループ攻撃,false,false,false,false,true,true,false,false,0,56,0,82,82,not_observed,supported
148,0x094,[体当/たいあ]たり,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,0,5,6,not_observed,supported
149,0x095,ロストアタック,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,3,83,83,not_observed,supported
150,0x096,やいばくだき,actname_indexed,b,1,opponent,相手側,2,single,単体,opponent_single_formation_ignored,隊列無視,true,false,false,false,false,true,false,false,0,1,4,84,84,not_observed,supported
151,0x097,[聖/せい]なる[祈/いの]り,actname_indexed,b,2,ally,味方側,1,self,自分,self,自己,false,false,false,false,false,false,true,true,0,38,2,85,85,not_observed,supported
152,0x098,[聖女/せいじょ]の[守/まも]り,actname_indexed,b,2,ally,味方側,1,self,自分,self,自己,false,false,false,false,false,false,true,true,0,39,3,86,86,not_observed,supported
153,0x099,ゾンビガード,actname_indexed,b,2,ally,味方側,3,all_on_side,全体,ally_all,味方全体,false,false,false,true,false,false,true,false,0,40,4,87,87,not_observed,supported
154,0x09a,ひかりのはどう,actname_indexed,b,2,ally,味方側,3,all_on_side,全体,ally_all,味方全体,false,false,false,true,false,false,true,false,0,41,10,88,88,not_observed,supported
